INFO     | 2024-09-25 12:53:33,819 | progress   |       Finished subset 79/551, 14.34 percent done
INFO     | 2024-09-25 12:53:33,886 | progress   |       Finished subset 80/551, 14.52 percent done
INFO     | 2024-09-25 12:53:33,918 | progress   |       Finished subset 81/551, 14.70 percent done
INFO     | 2024-09-25 12:53:34,099 | progress   |       Finished subset 82/551, 14.88 percent done
INFO     | 2024-09-25 12:53:34,127 | progress   |       Finished subset 83/551, 15.06 percent done
INFO     | 2024-09-25 12:53:34,179 | progress   |       Finished subset 84/551, 15.25 percent done
INFO     | 2024-09-25 12:53:34,261 | progress   |       Finished subset 85/551, 15.43 percent done
INFO     | 2024-09-25 12:53:34,383 | progress   |       Finished subset 86/551, 15.61 percent done
INFO     | 2024-09-25 12:53:34,556 | progress   |       Finished subset 87/551, 15.79 percent done
INFO     | 2024-09-25 12:53:34,591 | progress   |       Finished subset 88/551, 15.97 percent done
INFO     | 2024-09-25 12:53:34,756 | progress   |       Finished subset 89/551, 16.15 percent done
INFO     | 2024-09-25 12:53:34,877 | progress   |       Finished subset 90/551, 16.33 percent done
INFO     | 2024-09-25 12:53:34,985 | progress   |       Finished subset 91/551, 16.52 percent done
INFO     | 2024-09-25 12:53:35,093 | progress   |       Finished subset 92/551, 16.70 percent done
INFO     | 2024-09-25 12:53:35,191 | progress   |       Finished subset 93/551, 16.88 percent done
INFO     | 2024-09-25 12:53:35,316 | progress   |       Finished subset 94/551, 17.06 percent done
INFO     | 2024-09-25 12:53:35,390 | progress   |       Finished subset 95/551, 17.24 percent done
INFO     | 2024-09-25 12:53:35,479 | progress   |       Finished subset 96/551, 17.42 percent done
INFO     | 2024-09-25 12:53:36,078 | progress   |       Finished subset 97/551, 17.60 percent done
INFO     | 2024-09-25 12:53:36,177 | progress   |       Finished subset 98/551, 17.79 percent done
INFO     | 2024-09-25 12:53:36,257 | progress   |       Finished subset 99/551, 17.97 percent done
INFO     | 2024-09-25 12:53:36,339 | progress   |       Finished subset 100/551, 18.15 percent done
INFO     | 2024-09-25 12:53:36,441 | progress   |       Finished subset 101/551, 18.33 percent done
INFO     | 2024-09-25 12:53:36,728 | progress   |       Finished subset 102/551, 18.51 percent done
INFO     | 2024-09-25 12:53:36,922 | progress   |       Finished subset 103/551, 18.69 percent done
INFO     | 2024-09-25 12:53:37,019 | progress   |       Finished subset 104/551, 18.87 percent done
INFO     | 2024-09-25 12:53:37,082 | progress   |       Finished subset 105/551, 19.06 percent done
INFO     | 2024-09-25 12:53:37,389 | progress   |       Finished subset 106/551, 19.24 percent done
INFO     | 2024-09-25 12:53:37,470 | progress   |       Finished subset 107/551, 19.42 percent done
INFO     | 2024-09-25 12:53:37,546 | progress   |       Finished subset 108/551, 19.60 percent done
INFO     | 2024-09-25 12:53:37,643 | progress   |       Finished subset 109/551, 19.78 percent done
